rowid,kepoi_name,koi_score,koi_period,koi_eccen,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,Predict
5357,K02076.02,1,219.3215562,0,0.055313,1.04654,6.11,0.7391,313,2.27,138.6,2,6063,4.476,0.07,1.012,1.117,,0
5380,K03878.01,0.982,70.9672087,0,0.026365,1.16776,2.84,0.3392,438,8.66,67.7,2,5818,4.464,0.1,0.986,1.032,,0
5384,K01922.03,1,105.6552651,0,0.033986,0.96789,4.22,0.4389,407,6.51,83,3,5741,4.331,0.16,1.136,1.01,,0
5388,K02004.02,1,3.18899015,0,0.007617,0.8565,0.98,0.0434,1309,693.65,7.72,3,5700,4.327,0.34,1.176,1.071,,0
5408,K03728.01,0,5.546083089,0,0.050506,0.37243,22.27,0.078,2336,7027.09,8.46,1,7358,3.538,-0.08,4.037,2.054,,0
5421,K02078.02,1,161.515617,0,0.041208,5.47826,2.88,0.503,211,0.47,196.22,2,4243,4.637,0.02,0.641,0.651,,0
5429,K01932.02,0.636,14.8444836,0,0.012341,0.55705,2.49,0.1329,1092,336.06,18.65,2,6642,4.057,-0.02,1.846,1.421,,0
5448,K03892.01,1,2.41660149,0,0.008255,2.74357,0.92,0.036,1343,770.05,9.461,1,5705,4.444,0.34,1.026,1.069,,0
5451,K03663.01,0.963,282.5253558,0,0.090074,2.2641,8.98,0.836,264,1.15,212.2,1,5725,4.506,0,0.913,0.974,,0
5462,K01792.01,0.927,88.40678718,0,0.03884,0.28257,4.55,0.392,410,6.65,48.9,3,5611,4.388,0.36,1.073,1.026,,0
5475,K03966.01,0.994,138.944022,0,0.021092,0.98758,2.57,0.5329,384,5.13,100.3,1,6014,4.362,0,1.115,1.044,,0
5484,K01821.01,1,9.97682072,0,0.028075,2.15668,2.85,0.0849,802,97.85,22.47,1,5500,4.416,-0.16,0.928,0.821,,0
5521,K03975.01,0.99,364.751562,0,0.041985,0.2513,2.89,0.8507,166,0.18,120.9,1,4386,4.629,-0.26,0.63,0.616,,0
5530,K01846.01,1,105.9566815,0,0.043403,2.54944,3.79,0.4217,324,2.59,114.8,1,5327,4.581,0.02,0.8,0.891,,0
5550,K01695.01,0.99,71.4523167,0,0.013504,2.53706,2.19,0.3475,561,23.44,88.14,1,6148,4.132,-0.1,1.488,1.094,,0
5555,K01981.01,1,1.06378861,0,0.014732,5.41595,1.61,0.0198,1650,1761.19,6.87,1,5265,4.4,0.46,1.002,0.919,,0
5565,K02728.01,0.999,42.3520039,0,0.021934,0.3625,6.3,0.2743,938,182.91,32.5,1,6864,3.783,-0.16,2.632,1.535,,0
5566,K02742.01,1,0.789160884,0,0.013424,7.08786,0.91,0.0142,1244,564.46,6.16,1,4258,4.635,-0.18,0.622,0.61,,0
5570,K03984.01,1,1.44445234,0,0.012845,13.17877,2.03,0.0245,1800,2479.44,11.33,1,5305,4.088,0.24,1.449,0.939,,0
5583,K01804.01,1,5.90741476,0,0.06763,55.52076,5.1,0.0559,769,82.73,46.8,1,4963,4.585,-0.42,0.69,0.667,,0
5587,K02793.01,1,4.49686066,0,0.039901,8.23637,1.93,0.0413,535,19.34,20.65,2,3698,4.81,-0.2,0.444,0.464,,0
